number,date,comment,source
SN1,2019-02-02,First Raptor Engine at McGregor Test Stand,https://twitter.com/elonmusk/status/1091958352513425408
SN2,2019-03-11,Raptor (SN2) has arrived at South Texas Launch Site;Forum,https://forum.nasaspaceflight.com/index.php?topic=47120.
